NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
AMERICAN WOODMARK CORP,Common Stock,30506109,"3,250","39,779",SH,,SOLE,,"30,133",0,"9,646"
AMERICA'S CAR-MART INC,Common Stock,03062T105,"3,247","22,912",SH,,SOLE,,"13,424",0,"9,488"
AMERICOLD REALTY TRUST,REIT,03064D108,"8,114","214,368",SH,,SOLE,,"127,058",0,"87,310"
AMERIPRISE FINANCIAL INC,Common Stock,03076C106,"225,545","906,240",SH,,SOLE,,"576,116",0,"330,125"
AMERIS BANCORP,Common Stock,03076K108,"11,173","220,677",SH,,SOLE,,"202,960",0,"17,717"
AMERISAFE INC,Common Stock,03071H100,"3,886","65,095",SH,,SOLE,,"51,221",0,"13,874"
AMERISOURCEBERGEN CORP COM,Common Stock,3.07E+108,"128,730","1,124,376",SH,,SOLE,,"759,273",0,"365,103"
AMETEK INC NEW COM,Common Stock,31100100,"112,059","839,395",SH,,SOLE,,"691,695",0,"147,700"
AMGEN INC,Common Stock,31162100,"767,623","3,149,222",SH,,SOLE,,"2,092,544",0,"1,056,678"
AMICUS THERAPEUTICS COM,Common Stock,03152W109,"3,079","319,401",SH,,SOLE,,"268,968",0,"50,433"
AMKOR TECHNOLOGY INC,Common Stock,31652100,"9,333","394,286",SH,,SOLE,,"207,691",0,"186,595"
AMN HEALTHCARE SERVICES INC,Common Stock,1744101,"20,530","211,692",SH,,SOLE,,"115,928",0,"95,764"
AMNEAL PHARMACEUTICALS INC,Common Stock,03168L105,"1,020","199,239",SH,,SOLE,,"106,289",0,"92,950"
AMP LIMITED,ADR,0017EP202,40,"11,611",SH,,SOLE,,"11,611",0,0
AMPHASTAR PHARMACEUTICALS,Common Stock,03209R103,"3,065","152,030",SH,,SOLE,,"132,706",0,"19,324"
AMPHENOL CORP,Common Stock,32095101,"163,931","2,396,295",SH,,SOLE,,"1,922,109",0,"474,186"
AMPIO PHARMACEUTICALS INC,Common Stock,03209T109,37,"22,216",SH,,SOLE,,"22,216",0,0
AMYRIS INC,Common Stock,03236M200,"1,300","79,400",SH,,SOLE,,"78,579",0,821
ANALOG DEVICES INC,Common Stock,32654105,"272,813","1,584,647",SH,,SOLE,,"1,156,987",0,"427,660"
ANAPLAN INC,Common Stock,03272L108,"8,328","156,255",SH,,SOLE,,"150,610",0,"5,645"
ANAPTYSBIO INC,Common Stock,32724106,"1,316","50,735",SH,,SOLE,,"48,136",0,"2,599"
ANAVEX LIFE SCIENCES C COM NEW,Common Stock,32797300,"3,616","158,184",SH,,SOLE,,"36,757",0,"121,427"
ANDERSONS INC/THE,Common Stock,34164103,"2,079","68,088",SH,,SOLE,,"60,876",0,"7,212"
ANGI INC,Common Stock,00183L102,150,"11,079",SH,,SOLE,,"9,485",0,"1,594"
ANGIODYNAMICS INC,Common Stock,03475V101,"4,279","157,707",SH,,SOLE,,"103,798",0,"53,909"
ANGLO AMERICAN PLAT-SPON ADR,ADR,03486T202,873,"45,221",SH,,SOLE,,"41,744",0,"3,477"
ANGLO AMERN PLC-SPONS ADR,ADR,03485P300,"53,281","2,665,375",SH,,SOLE,,"2,365,585",0,"299,790"
ANGLOGOLD ASHANTI LTD SPONSORED ADR,ADR,35128206,"7,565","407,173",SH,,SOLE,,"379,313",0,"27,860"
ANHEUSER-BUSCH INBEV SA N.V.,ADR,03524A108,"49,460","686,845",SH,,SOLE,,"607,436",0,"79,409"
ANHUI CONCH CEMENT UNSPONS ADR,ADR,35243104,"2,971","112,634",SH,,SOLE,,"90,177",0,"22,457"
ANI PHARMACEUTICALS IN COM,Common Stock,00182C103,"1,013","28,909",SH,,SOLE,,"25,739",0,"3,170"
ANIKA THERAPEUTICS INC,Common Stock,35255108,"1,423","32,877",SH,,SOLE,,"20,386",0,"12,491"
ANNALY MTG MGMT INC COM REIT,REIT,35710409,"34,700","3,907,683",SH,,SOLE,,"2,718,733",0,"1,188,950"
ANNOVIS BIO EQUITY,Common Stock,03615A108,"1,911","22,331",SH,,SOLE,,0,0,"22,331"
ANSELL LTD-UNSPON ADR,ADR,03634M208,607,"4,673",SH,,SOLE,,"4,617",0,56
ANSYS INC,Common Stock,03662Q105,"94,079","271,073",SH,,SOLE,,"239,038",0,"32,035"
ANTA SPORTS PRODS LTD ADR,ADR,03662P107,"10,394","17,655",SH,,SOLE,,"16,585",0,"1,070"
ANTARES PHARMA INC,Common Stock,36642106,565,"129,473",SH,,SOLE,,"41,262",0,"88,211"
ANTERIX INC,Common Stock,03676C100,"1,863","31,055",SH,,SOLE,,"30,355",0,700
ANTERO MIDSTREAM CORP,Common Stock,03676B102,"28,153","2,709,617",SH,,SOLE,,"2,496,876",0,"212,741"
ANTERO RESOURCES CORP,Common Stock,03674X106,"6,221","413,916",SH,,SOLE,,"171,390",0,"242,526"
ANTHEM INC,Common Stock,36752103,"357,844","937,255",SH,,SOLE,,"763,256",0,"173,999"
AO SMITH CORP,Common Stock,831865209,"46,163","640,612",SH,,SOLE,,"535,748",0,"104,864"
AON PLC,Common Stock,G0403H108,"175,728","736,001",SH,,SOLE,,"633,504",0,"102,497"
AP Moller - Maersk A/S,ADR,00202F102,"44,487","3,072,508",SH,,SOLE,,"2,772,764",0,"299,744"
APA CORP,Common Stock,03743Q108,"36,692","1,696,357",SH,,SOLE,,"1,212,372",0,"483,985"
APARTMENT INCOME REIT CO-W/I,REIT,03750L109,"14,691","309,737",SH,,SOLE,,"269,886",0,"39,851"
APARTMENT INVT & MGMT CO -A REIT,REIT,03748R747,"1,694","252,521",SH,,SOLE,,"224,928",0,"27,593"
APELLIS PHARMACEUTICALS INC,Common Stock,03753U106,"3,650","57,748",SH,,SOLE,,"34,176",0,"23,572"
API Group Corp,Common Stock,00187Y100,822,"39,357",SH,,SOLE,,"23,488",0,"15,869"
APOGEE ENTERPRISES INC,Common Stock,37598109,"5,147","126,364",SH,,SOLE,,"103,066",0,"23,298"
APOLLO COMMERCIAL REAL ESTATE FINANCE REIT,REIT,03762U105,"10,499","658,246",SH,,SOLE,,"595,452",0,"62,793"
APOLLO ENDOSURGERY INC,Common Stock,03767D108,"2,394","295,594",SH,,SOLE,,0,0,"295,594"
APOLLO GLOBAL MANAGEMENT INC,Common Stock,3.77E+108,"3,159","50,782",SH,,SOLE,,"35,020",0,"15,762"
APOLLO MEDICAL HOLDINGS INC,Common Stock,03763A207,761,"12,116",SH,,SOLE,,"8,577",0,"3,539"
APOLLO SR FLOATING COM,Closed-End Fund,37636107,"6,629","420,083",SH,,SOLE,,"86,755",0,"333,328"
APOLLO TACTICAL INCOME COM,Closed-End Fund,37638103,"13,929","890,023",SH,,SOLE,,"150,464",0,"739,559"
APPFOLIO INC COM CL A,Common Stock,03783C100,"1,978","14,012",SH,,SOLE,,"13,491",0,521
APPIAN CORP,Common Stock,03782L101,"7,725","56,077",SH,,SOLE,,"53,763",0,"2,314"
APPLE HOSPITALITY REIT COM NEW,REIT,03784Y200,"7,038","461,192",SH,,SOLE,,"431,900",0,"29,292"
APPLE INC COM,Common Stock,37833100,"7,585,775","55,386,793",SH,,SOLE,,"44,689,073",0,"10,697,720"
APPLIED INDUSTRIAL TECHNOLOGIE,Common Stock,03820C105,"11,629","127,705",SH,,SOLE,,"93,138",0,"34,567"
APPLIED MATERIALS INC,Common Stock,38222105,"640,807","4,500,049",SH,,SOLE,,"2,955,756",0,"1,544,293"
Applied Molecular Transport In,Common Stock,03824M109,"1,104","24,140",SH,,SOLE,,"21,593",0,"2,547"
APPLIED OPTOELECTRONICS INC,Common Stock,03823U102,526,"62,083",SH,,SOLE,,"56,917",0,"5,166"
APRIA INC,Common Stock,03836A101,232,"8,303",SH,,SOLE,,146,0,"8,157"
APTARGROUP INC,Common Stock,38336103,"33,505","237,895",SH,,SOLE,,"168,802",0,"69,092"
APTIV PLC,Common Stock,G6095L109,"121,341","771,249",SH,,SOLE,,"687,382",0,"83,868"
AQUABOUNTY TECHNOLOGIES,Common Stock,03842K200,59,"11,068",SH,,SOLE,,"10,257",0,811
ARAMARK,Common Stock,03852U106,"20,027","537,651",SH,,SOLE,,"520,172",0,"17,479"
ARBOR RLTY TR INC COM REIT,REIT,38923108,"3,123","175,278",SH,,SOLE,,"45,813",0,"129,464"
ARCBEST CORP,Common Stock,03937C105,"9,590","164,808",SH,,SOLE,,"83,839",0,"80,969"
ARCELORMITTAL NY REG SH CL A,NY Reg Shrs,03938L203,"28,099","904,667",SH,,SOLE,,"662,309",0,"242,358"
ARCH CAPITAL GROUP LTD,Common Stock,G0450A105,"26,582","682,639",SH,,SOLE,,"623,336",0,"59,303"
ARCH RESOURCES INC,Common Stock,03940R107,"2,379","41,760",SH,,SOLE,,"35,609",0,"6,151"
ARCHER-DANIELS-MIDLAND CO,Common Stock,39483102,"141,535","2,335,560",SH,,SOLE,,"1,766,981",0,"568,579"
ARCHROCK INC,Common Stock,03957W106,"9,711","1,089,867",SH,,SOLE,,"1,045,912",0,"43,956"
ARCIMOTO INC,Common Stock,39587100,740,"43,063",SH,,SOLE,,"36,477",0,"6,586"
ARCO PLATFORM LTD - CLASS A,Common Stock,G04553106,293,"9,546",SH,,SOLE,,"9,546",0,0
Arconic Corp,Common Stock,03966V107,"13,284","372,946",SH,,SOLE,,"243,196",0,"129,750"
ARCOS DORADOS HLDNG IN SHS CLASS -A -,Common Stock,G0457F107,510,"85,380",SH,,SOLE,,"85,380",0,0
ARCOSA INC,Common Stock,39653100,"11,940","203,260",SH,,SOLE,,"192,794",0,"10,466"
ARCTURUS THERAPEUTICS LTD,Common Stock,03969T109,344,"10,156",SH,,SOLE,,"9,525",0,631
ARCUS BIOSCIENCES INC,Common Stock,03969F109,818,"29,772",SH,,SOLE,,"22,125",0,"7,647"
ARDAGH GROUP SA,Common Stock,L0223L101,"4,844","197,549",SH,,SOLE,,"141,418",0,"56,131"
ARDELYX INC COM,Common Stock,39697107,545,"71,881",SH,,SOLE,,"71,506",0,375
ARDMORE SHIPPING CORP,Common Stock,Y0207T100,493,"116,799",SH,,SOLE,,"105,671",0,"11,128"
ARENA PHARMACEUTICALS INC COM,Common Stock,40047607,"4,096","60,059",SH,,SOLE,,"31,456",0,"28,603"
ARES CAP CORP COM,Common Stock,04010L103,"1,878","95,874",SH,,SOLE,,"91,607",0,"4,267"
ARES COML REAL ESTATE COM,REIT,04013V108,846,"57,568",SH,,SOLE,,"55,683",0,"1,886"
ARES DYNAMIC CR ALLOCA COM,Closed-End Fund,04014F102,"17,842","1,103,374",SH,,SOLE,,"199,690",0,"903,684"
ARES MANAGEMENT CORP - A,Common Stock,03990B101,"3,973","62,475",SH,,SOLE,,"53,193",0,"9,282"
ARGAN INC,Common Stock,4.01E+112,314,"6,566",SH,,SOLE,,"4,149",0,"2,417"
ARGENX SE - ADR,ADR,04016X101,"10,478","34,803",SH,,SOLE,,"24,958",0,"9,845"
ARGO GROUP INTERNATIONAL HOLDINGS LTD,Common Stock,G0464B107,"10,285","198,440",SH,,SOLE,,"48,637",0,"149,803"
ARISTA NETWORKS INC COM,Common Stock,40413106,"75,188","207,523",SH,,SOLE,,"122,769",0,"84,754"
ARKEMA SPON ADR,ADR,41232109,"13,491","107,961",SH,,SOLE,,"83,940",0,"24,021"
ARLINGTON ASSET INVESTMENT-A,REIT,41356205,540,"132,900",SH,,SOLE,,"130,631",0,"2,269"
ARLO TECHNOLOGIES INC,Common Stock,04206A101,"1,687","249,155",SH,,SOLE,,"201,697",0,"47,458"
ARMADA HOFFLER PPTYS COM,REIT,04208T108,"3,035","228,392",SH,,SOLE,,"212,793",0,"15,599"
ARMOUR RESIDENTIAL REI COM,REIT,42315507,"1,972","172,669",SH,,SOLE,,"158,735",0,"13,933"
ARMSTRONG FLOORING INC,Common Stock,04238R106,100,"16,189",SH,,SOLE,,"15,989",0,200
ARMSTRONG WORLD INDUSTRIES INC,Common Stock,04247X102,"10,070","93,887",SH,,SOLE,,"50,318",0,"43,569"
Array Technologies Inc,Common Stock,04271T100,351,"22,476",SH,,SOLE,,"20,858",0,"1,618"
ARROW ELECTRONICS INC,Common Stock,42735100,"45,497","399,690",SH,,SOLE,,"217,289",0,"182,401"
ARROW FINANCIAL CORP,Common Stock,42744102,"2,378","66,160",SH,,SOLE,,"40,013",0,"26,147"
ARROWHEAD PHARMACEUTICALS INC,Common Stock,04280A100,"10,749","129,791",SH,,SOLE,,"121,760",0,"8,031"
ARTESIAN RESOURCES CORP,Common Stock,43113208,"2,068","56,253",SH,,SOLE,,"23,970",0,"32,284"
ARTHUR J GALLAGHER & CO,Common Stock,363576109,"72,761","519,424",SH,,SOLE,,"467,432",0,"51,991"
ARTISAN PARTNERS ASSET CL A,Common Stock,04316A108,"8,510","167,447",SH,,SOLE,,"113,228",0,"54,219"
ARVINAS INC,Common Stock,04335A105,"2,369","30,764",SH,,SOLE,,"20,087",0,"10,677"
ASANA INC - CL A,Common Stock,04342Y104,"7,809","125,887",SH,,SOLE,,"90,895",0,"34,992"
ASBURY AUTOMOTIVE GROUP INC,Common Stock,43436104,"13,621","79,484",SH,,SOLE,,"64,488",0,"14,996"
ASCENDIS PHARMA A/S - ADR,ADR,04351P101,"3,626","27,565",SH,,SOLE,,"22,286",0,"5,279"
ASE INDUSTRIAL HOLDING CO LTD,ADR,00215W100,"25,724","3,195,586",SH,,SOLE,,"2,296,091",0,"899,495"
ASGN INC,Common Stock,00191U102,"7,518","77,565",SH,,SOLE,,"73,207",0,"4,358"
ASHAI KASEI CORP ADR,ADR,43400100,"21,238","968,013",SH,,SOLE,,"864,177",0,"103,836"
ASHFORD HOSPITALITY TRUST REIT,REIT,44103869,182,"39,829",SH,,SOLE,,"38,595",0,"1,234"
ASHLAND GLOBAL HOLDINGS INC,Common Stock,44186104,"18,037","206,141",SH,,SOLE,,"85,195",0,"120,945"
ASHTEAD GROUP PLC ADR,ADR,45055100,"55,611","186,672",SH,,SOLE,,"167,277",0,"19,395"
ASM PACIFIC TECHNOL-UNSP ADR,ADR,00212G108,"4,090","100,893",SH,,SOLE,,"91,394",0,"9,499"
ASML HLDG NV N Y SHS,NY Reg Shrs,N07059210,"356,781","516,445",SH,,SOLE,,"420,135",0,"96,309"
ASML HOLDING NV,Common Stock,N07059202,256,362,SH,,SOLE,,362,0,0
ASPEN AEROGELS INC,Common Stock,04523Y105,209,"6,987",SH,,SOLE,,"6,226",0,761
ASPEN GROUP INC,Common Stock,04530L203,106,"16,287",SH,,SOLE,,"15,401",0,886
ASPEN TECHNOLOGY INC,Common Stock,45327103,"17,880","130,000",SH,,SOLE,,"98,600",0,"31,400"
ASPIRA WOMEN'S HEALTH INC,Common Stock,04537Y109,263,"46,828",SH,,SOLE,,"46,828",0,0
ASSA ABLOY AB ADR,ADR,45387107,"46,217","3,072,955",SH,,SOLE,,"2,485,989",0,"586,966"
ASSEMBLY BIOSCIENCES INC,Common Stock,45396108,347,"89,340",SH,,SOLE,,"87,453",0,"1,887"
ASSETMARK FINANCIAL HOLDINGS,Common Stock,04546L106,229,"9,141",SH,,SOLE,,"6,502",0,"2,639"
Assicurazioni Generali SpA,ADR,04545K109,107,"10,793",SH,,SOLE,,"2,659",0,"8,134"
ASSOCIATED BANC-CORP,Common Stock,45487105,"15,263","745,239",SH,,SOLE,,"635,421",0,"109,818"
ASSOCIATED BRIT FOODS ADR NEW,ADR,45519402,"17,407","558,641",SH,,SOLE,,"503,661",0,"54,980"
ASSURANT INC,Common Stock,04621X108,"36,931","236,467",SH,,SOLE,,"162,669",0,"73,798"
ASSURED GUARANTY LTD,Common Stock,G0585R106,"18,321","385,858",SH,,SOLE,,"267,739",0,"118,119"
ASTEC INDUSTRIES INC,Common Stock,46224101,"4,751","75,479",SH,,SOLE,,"72,784",0,"2,695"
ASTELLAS PHARMA INC - UNSP ADR,ADR,04623U102,"47,757","2,748,613",SH,,SOLE,,"2,500,926",0,"247,687"
ASTRA INTERNATIONAL - UNSP ADR,ADR,69367X109,742,"110,116",SH,,SOLE,,"104,360",0,"5,756"
ASTRAZENECA PLC SPONSORED ADR,ADR,46353108,"212,018","3,539,530",SH,,SOLE,,"2,973,980",0,"565,550"
ASTRONICS CORP,Common Stock,46433108,250,"14,257",SH,,SOLE,,"12,528",0,"1,729"
ASURE SOFTWARE INC,Common Stock,04649U102,664,"74,913",SH,,SOLE,,"7,506",0,"67,407"
ASX LTD ADR,ADR,2.12E+105,"9,014","154,502",SH,,SOLE,,"132,302",0,"22,200"
AT HOME GROUP INC,Common Stock,04650Y100,"3,378","91,696",SH,,SOLE,,"59,130",0,"32,566"
AT&T INC,Common Stock,00206R102,"528,934","18,378,543",SH,,SOLE,,"14,705,832",0,"3,672,711"
ATARA BIOTHERAPEUTICS COM,Common Stock,46513107,902,"58,027",SH,,SOLE,,"53,626",0,"4,401"
ATEA PHARMACEUTICALS INC,Common Stock,04683R106,"1,785","83,094",SH,,SOLE,,"82,605",0,489
ATERIAN INC,Common Stock,02156U101,286,"19,553",SH,,SOLE,,"19,251",0,302
ATHENE HOLDING LTD CLASS A,Common Stock,G0684D107,"21,805","323,038",SH,,SOLE,,"246,341",0,"76,697"
Athenex Inc,Common Stock,04685N103,743,"160,879",SH,,SOLE,,"153,890",0,"6,989"
ATKORE INC,Common Stock,47649108,"11,994","168,936",SH,,SOLE,,"39,928",0,"129,008"
ATLANTIA SPA ADR,ADR,48173108,"21,157","2,353,384",SH,,SOLE,,"2,101,562",0,"251,822"
ATLANTIC CAPITAL BANCSHARES,Common Stock,48269203,893,"35,061",SH,,SOLE,,"7,083",0,"27,978"
ATLANTIC UNION BANKSHARES CO,Common Stock,04911A107,"2,325","64,202",SH,,SOLE,,"59,403",0,"4,799"
ATLANTICA SUSTAINABLE INFRASTRUCTURE,Common Stock,G0751N103,"2,082","55,934",SH,,SOLE,,"53,672",0,"2,262"
ATLAS AIR WORLDWIDE HOLDINGS I,Common Stock,49164205,"15,903","233,487",SH,,SOLE,,"118,774",0,"114,713"
ATLAS COPCO AB SP ADR A NEW,ADR,49255706,"74,305","1,205,081",SH,,SOLE,,"1,060,420",0,"144,661"
ATLAS COPCO SP ADR B NEW,ADR,49255805,"27,110","513,952",SH,,SOLE,,"480,337",0,"33,615"
ATLASSIAN CORP PLC-CLASS A,Common Stock,G06242104,"52,737","205,314",SH,,SOLE,,"150,226",0,"55,088"
ATMOS ENERGY CORP,Common Stock,49560105,"40,526","421,658",SH,,SOLE,,"388,605",0,"33,053"
ATN INTERNATIONAL INC,Common Stock,00215F107,"1,526","33,544",SH,,SOLE,,"27,609",0,"5,935"
ATOMERA INC,Common Stock,04965B100,302,"14,102",SH,,SOLE,,"13,794",0,308
ATOS ORIGIN SA ADR,ADR,04962A105,"8,231","672,501",SH,,SOLE,,"592,530",0,"79,971"
ATOSSA THERAPEUTICS INC,Common Stock,04962H506,329,"52,128",SH,,SOLE,,"51,355",0,773
ATRECA INC - A,Common Stock,04965G109,307,"36,016",SH,,SOLE,,"32,299",0,"3,717"
ATRICURE INC COM,Common Stock,04963C209,"4,465","56,284",SH,,SOLE,,"16,889",0,"39,395"
ATRION CORP,Common Stock,49904105,"1,135","1,828",SH,,SOLE,,"1,723",0,105
AU OPTRONICS CORP SPONSORED ADR,ADR,2255107,"18,184","2,247,679",SH,,SOLE,,"2,122,210",0,"125,469"
Audacy Inc,Common Stock,05070N103,"1,231","285,519",SH,,SOLE,,"159,371",0,"126,148"
AUDIOCODES LTD,Common Stock,M15342104,"2,509","75,834",SH,,SOLE,,"9,983",0,"65,851"
AURINIA PHARMACEUTICALS INC,Common Stock,05156V102,425,"32,796",SH,,SOLE,,"26,062",0,"6,734"
AUSTRALIA&NEW ZEALAND BKG GR SPONSORED ADR,ADR,52528304,"82,533","3,920,817",SH,,SOLE,,"3,490,465",0,"430,351"
AUTO TRADER GROUP PLC ADR,ADR,5.28E+107,"12,211","5,525,449",SH,,SOLE,,"4,932,276",0,"593,173"
AUTODESK INC,Common Stock,52769106,"248,428","851,072",SH,,SOLE,,"728,002",0,"123,070"
AUTOHOME INC ADR,ADR,05278C107,"2,880","45,035",SH,,SOLE,,"42,170",0,"2,865"
AUTOLIV INC,Common Stock,52800109,"8,677","88,753",SH,,SOLE,,"72,239",0,"16,514"
AUTOMATIC DATA PROCESSING INC,Common Stock,53015103,"390,927","1,968,215",SH,,SOLE,,"1,450,575",0,"517,641"
AUTONATION INC,Common Stock,05329W102,"17,309","182,563",SH,,SOLE,,"128,980",0,"53,583"
AUTOZONE INC,Common Stock,53332102,"167,611","112,323",SH,,SOLE,,"69,889",0,"42,434"
AVALARA INC,Common Stock,05338G106,"11,614","71,782",SH,,SOLE,,"58,056",0,"13,726"
AVALONBAY CMNTYS INC COM REIT,REIT,53484101,"75,448","361,532",SH,,SOLE,,"316,722",0,"44,811"
AVANGRID INC,Common Stock,05351W103,"21,325","414,643",SH,,SOLE,,"401,100",0,"13,543"
AVANOS MEDICAL INC,Common Stock,05350V106,"3,670","100,908",SH,,SOLE,,"93,877",0,"7,031"
AVANTOR INC,Common Stock,05352A100,"11,247","316,720",SH,,SOLE,,"273,197",0,"43,523"
AVAYA HLDGS CORP COM,Common Stock,05351X101,"2,344","87,134",SH,,SOLE,,"48,807",0,"38,327"
AVEANNA HEALTHCARE HOLDINGS,Common Stock,05356F105,"1,032","83,401",SH,,SOLE,,"82,543",0,858
Avenue Therapeutics Inc,Common Stock,05360L205,26,"10,554",SH,,SOLE,,"10,183",0,371
AVERY DENNISON CORP,Common Stock,53611109,"68,699","326,764",SH,,SOLE,,"267,507",0,"59,257"
AVID BIOSERVICES INC,Common Stock,05368M106,"1,807","70,432",SH,,SOLE,,"16,184",0,"54,248"
AVID TECHNOLOGY INC,Common Stock,05367P100,"5,329","136,116",SH,,SOLE,,"17,078",0,"119,038"
AVIDITY BIOSCIENCES INC,Common Stock,05370A108,220,"8,903",SH,,SOLE,,"8,687",0,216
Avient Corp,Common Stock,05368V106,"11,987","243,843",SH,,SOLE,,"194,205",0,"49,638"
AVIS BUDGET GROUP INC,Common Stock,53774105,"7,728","99,215",SH,,SOLE,,"63,894",0,"35,321"
AVISTA CORP,Common Stock,05379B107,"18,004","421,930",SH,,SOLE,,"404,642",0,"17,288"
AVITA MEDICAL INC,Common Stock,05380C102,218,"10,621",SH,,SOLE,,"10,621",0,0
AVIVA PLC - SPON ADR,ADR,05382A104,"41,727","3,715,676",SH,,SOLE,,"3,187,643",0,"528,033"
AVNET INC,Common Stock,53807103,"33,613","838,646",SH,,SOLE,,"451,727",0,"386,919"
AVROBIO INC,Common Stock,05455M100,119,"13,420",SH,,SOLE,,"13,420",0,0
AXA SPONSORED ADR,ADR,54536107,"69,457","2,729,154",SH,,SOLE,,"2,121,094",0,"608,060"
AXALTA COATING SYSTEMS LTD,Common Stock,G0750C108,"24,450","801,886",SH,,SOLE,,"300,500",0,"501,387"
AXCELIS TECHNOLOGIES INC,Common Stock,54540208,"3,892","96,279",SH,,SOLE,,"66,496",0,"29,783"
AXIS CAPITAL HOLDINGS LTD,Common Stock,G0692U109,"5,233","106,779",SH,,SOLE,,"83,106",0,"23,673"
AXOGEN INC,Common Stock,05463X106,"1,585","73,357",SH,,SOLE,,"10,383",0,"62,974"
AXON ENTERPRISE INC,Common Stock,05464C101,"16,224","91,765",SH,,SOLE,,"84,957",0,"6,808"
AXONICS INC,Common Stock,05465P101,"1,284","20,250",SH,,SOLE,,"19,035",0,"1,215"
AXOS FINANCIAL INC,Common Stock,05465C100,"10,375","223,640",SH,,SOLE,,"147,789",0,"75,851"
AXSOME THERAPEUTICS IN COM,Common Stock,05464T104,962,"14,257",SH,,SOLE,,"11,816",0,"2,441"
AXT INC,Common Stock,00246W103,712,"64,834",SH,,SOLE,,"64,731",0,103
AZEK CO INC/THE,Common Stock,05478C105,"1,814","42,721",SH,,SOLE,,"40,921",0,"1,800"
AZURE POWER GLOBAL LTD,Common Stock,V0393H103,405,"15,028",SH,,SOLE,,"15,028",0,0
AZZ INC,Common Stock,2474104,"3,129","60,420",SH,,SOLE,,"55,646",0,"4,774"
B&G FOODS INC,Common Stock,05508R106,"11,881","362,215",SH,,SOLE,,"346,803",0,"15,412"
B. RILEY FINANCIAL INC,Common Stock,05580M108,"1,555","20,601",SH,,SOLE,,"19,558",0,"1,043"
B2GOLD CORP MINING INC,Common Stock,11777Q209,"5,184","1,231,239",SH,,SOLE,,330,0,"1,230,909"
BABCOCK AND WILCOX ENTERPR,Common Stock,05614L209,147,"18,662",SH,,SOLE,,"2,576",0,"16,086"
BADGER METER INC,Common Stock,56525108,"9,286","94,639",SH,,SOLE,,"61,175",0,"33,464"
BAE SYS PLC SPONSORED ADR,ADR,05523R107,"19,185","655,436",SH,,SOLE,,"552,617",0,"102,819"
BAIDU COM INC SPON ADR REP A,ADR,56752108,"28,480","139,674",SH,,SOLE,,"127,025",0,"12,649"
BAKER HUGHES CO,Common Stock,05722G100,"80,829","3,534,293",SH,,SOLE,,"2,728,286",0,"806,007"
BALCHEM CORP,Common Stock,57665200,"15,159","115,489",SH,,SOLE,,"82,760",0,"32,729"
BALFOUR BEAUTY PLC,ADR,05845R306,"1,970","232,950",SH,,SOLE,,"7,643",0,"225,307"
BALL CORP,Common Stock,58498106,"91,274","1,126,560",SH,,SOLE,,"963,658",0,"162,902"
BALLY'S CORP,Common Stock,05875B106,"1,125","20,797",SH,,SOLE,,"11,069",0,"9,728"
BANC OF CALIFORNIA INC,Common Stock,05990K106,"1,444","82,319",SH,,SOLE,,"63,956",0,"18,363"
BANCFIRST CORP,Common Stock,05945F103,"4,376","70,094",SH,,SOLE,,"65,825",0,"4,269"
BANCO BILBAO VIZCAYA ARGENTA SPONSORED ADR,ADR,05946K101,"56,137","9,039,854",SH,,SOLE,,"6,677,885",0,"2,361,968"
BANCO BRADESCO-SPONSORED ADR,ADR,59460303,"9,681","1,887,082",SH,,SOLE,,"1,423,087",0,"463,995"
BANCO DE CHILE SPONSORED ADR,ADR,59520106,"4,368","221,140",SH,,SOLE,,"203,949",0,"17,191"
BANCO DO BRASIL S A SPONSORED ADR,ADR,59578104,"2,054","316,036",SH,,SOLE,,"305,484",0,"10,552"
BANCO LATINOAMERICANO DE COMER,Common Stock,P16994132,"4,370","284,335",SH,,SOLE,,"214,366",0,"69,969"
BANCO MACRO SA SPON ADR B,ADR,05961W105,787,"52,365",SH,,SOLE,,"52,341",0,24
BANCO SANTANDER BRAZIL S.A.,ADR,05967A107,"6,585","803,008",SH,,SOLE,,"750,011",0,"52,998"
BANCO SANTANDER CENT HISPANO ADR,ADR,05964H105,"54,948","14,053,316",SH,,SOLE,,"11,471,089",0,"2,582,227"
BANCO SANTANDER CHILE NEW SP ADR REP COM,ADR,05965X109,"5,995","301,733",SH,,SOLE,,"286,303",0,"15,430"
BANCOLOMBIA S A SPON ADR PREF,ADR,05968L102,"8,194","284,509",SH,,SOLE,,"228,536",0,"55,973"
BANCORP INC/DE,Common Stock,05969A105,"1,976","85,895",SH,,SOLE,,"82,219",0,"3,676"
BANCORPSOUTH INC,Common Stock,05971J102,"3,591","126,766",SH,,SOLE,,"121,233",0,"5,533"
BANDWIDTH INC-CLASS A,Common Stock,05988J103,"3,693","26,778",SH,,SOLE,,"25,112",0,"1,666"
BANK EAST ASIA LTD SPONSORED ADR,ADR,61874103,46,"24,864",SH,,SOLE,,"9,219",0,"15,645"
BANK FIRST CORP,Common Stock,06211J100,206,"2,959",SH,,SOLE,,74,0,"2,885"
BANK HAPOALIM LTD ADR,ADR,62510300,807,"19,229",SH,,SOLE,,"11,475",0,"7,754"
